"jstor-40671481","THE MEETING OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC HELD AT BERKELEY ON AUGUST 4-6, 1921, IN CONJUNCTION WITH THE ANNUAL MEETING OF THE PACIFIC DIVISION OF THE AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE","Publications of the Astronomical Society of the Pacific","JSTOR","1921-08-01"
"jstor-40670987","ASTRONOMICAL OBSERVATIONS IN 1896","Publications of the Astronomical Society of the Pacific","JSTOR","1897-04-01"
"jstor-2635689","Note.--To the Student of Physical Astronomy","The Analyst","JSTOR","1875-01-01"
"jstor-40669844","BY-LAWS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC","Publications of the Astronomical Society of the Pacific","JSTOR","1891-06-13"
"jstor-40710370","Minutes of the Meeting of the Board of Directors of the Astronomical Society of the Pacific, Held in Room 2 of the Students' Observatory, Berkeley, on March 28, 1914, at 7:30 p. m.","Publications of the Astronomical Society of the Pacific","JSTOR","1914-04-01"
"jstor-40667968","THE RISE AND PROGRESS OF ASTRONOMY IN CENTRAL EUROPE","Publications of the Astronomical Society of the Pacific","JSTOR","1899-06-01"
"jstor-1627575","Recent Progress in Astronomy","Science","JSTOR","1902-09-05"
"jstor-1643060","American Astronomy","Science","JSTOR","1919-08-22"
"jstor-107817","Results of the Application of Captain Kater's Floating Collimator to the Astronomical Circle at the Observatory of Trinity College, Dublin, and Remarks Relative to Those Results","Philosophical Transactions of the Royal Society of London","JSTOR","1826-01-01"
"jstor-40691344","Berkeley Astronomical Department, March 31, 1906. From the Students' Observatory","Publications of the Astronomical Society of the Pacific","JSTOR","1906-04-10"
"jstor-40693065","Minutes of the Meeting of the Astronomical Society of the Pacific, Held in California Hall, Berkeley, on July 8, 1912, at 8:00 p.m.","Publications of the Astronomical Society of the Pacific","JSTOR","1912-10-01"
"jstor-40693194","LIST OF MEMBERS of the ASTRONOMICAL SOCIETY OF THE PACIFIC. February 1, 1920","Publications of the Astronomical Society of the Pacific","JSTOR","1920-02-01"
"jstor-2900540","Astronomical Observatories","Science","JSTOR","1881-08-13"
"jstor-40693048","Report of the Treasurer of the Astronomical Society of the Pacific for the Fiscal Year Ending March 26, 1910","Publications of the Astronomical Society of the Pacific","JSTOR","1910-04-01"
"jstor-2900240","American Astronomical Work","Science","JSTOR","1880-08-21"
"jstor-40711274","ABSTRACTS FROM ASTRONOMICAL PUBLICATIONS","Publications of the Astronomical Society of the Pacific","JSTOR","1913-02-01"
"jstor-107480","Astronomical Observations and Experiments, Selected for the Purpose of Ascertaining the Relative Distances of Clusters of Stars, and of Investigating How Far the Power of Our Telescopes May Be Expected to Reach into Space, When Directed to Ambiguous Celestial Objects","Philosophical Transactions of the Royal Society of London","JSTOR","1818-01-01"
"philtrans01399311","Extract of a Letter from the Rev. John Brinkley, D.D.F.R.S. Andrew's Professor of Astronomy in the University of Dublin, to the Rev. Nevil Maskelyne, D.D.F.R.S. Astronomer Royal, on the Annual Parallax of a Lyrae","Royal Society of London","No Contributor","1810-01-01"
"philtrans01721317","Additional Note to the Paper on a Supposed Alteration in the Amount of Astronomical Aberration of Light Produced by the Passage of the Light through a Considerable Thickness of Refracting Medium","Royal Society of London","No Contributor","1872-01-01"
"jstor-2900107","To Astronomers","Science","JSTOR","1880-11-20"
"jstor-40668165","Astronomical Telegrams","Publications of the Astronomical Society of the Pacific","JSTOR","1901-06-01"
"jstor-40668256","Announcement Concerning Astronomical Photographs","Publications of the Astronomical Society of the Pacific","JSTOR","1902-08-01"
"jstor-1760766","Astronomical Notes","Science","JSTOR","1885-10-09"
"jstor-110079","Observations of the Apparent Distances and Positions of 380 Double and Triple Stars, Made in the Years 1821, 1822, and 1823, and Compared with Those of other Astronomers; together with an Account of Such Changes as Appear to Have Taken Place in Them since Their First Discovery. Also a Description of a Five-Feet Equatorial Instrument Employed in the Observations. [Abstract]","Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London","JSTOR","1815-01-01"
"jstor-40666838","Minutes of the Meeting of the Astronomical Society of the Pacific, Held in San Francisco, at 408 California Street, January 31, 1891","Publications of the Astronomical Society of the Pacific","JSTOR","1891-01-31"
"jstor-40691689","Minutes of the Meeting of the Board of Directors of the Astronomical Society of the Pacific, Held at Chabot Observatory, Oakland, California, January 29, 1910","Publications of the Astronomical Society of the Pacific","JSTOR","1910-02-01"
"jstor-1760889","The Doings of Astronomers","Science","JSTOR","1885-02-20"
"jstor-40670523","Minutes of the Meeting of the Astronomical Society of the Pacific, held in the Lecture Hall of the California Academy of Sciences, January 26, 1895","Publications of the Astronomical Society of the Pacific","JSTOR","1895-02-01"
"jstor-20520113","Application of the Daguerreotype Process to Astronomical Purposes","Proceedings of the Royal Irish Academy (1836-1869)","JSTOR","1840-01-01"
"jstor-982478","Contributions from the Laboratory of the University of Pennsylvania. No. VII. On Astrophyllite, Arfvedsonite and Zircon, from El Paso Co. Colorado, and a Colorimetric Estimation of Titanium before the Blow-Pipe","Proceedings of the American Philosophical Society","JSTOR","1877-01-01"
"jstor-40691266","A Curious Astronomical Observation","Publications of the Astronomical Society of the Pacific","JSTOR","1905-10-10"
"jstor-1631805","Astronomical Notes","Science","JSTOR","1907-08-30"
"jstor-40692163","The Resignation of Astronomer Hussey","Publications of the Astronomical Society of the Pacific","JSTOR","1905-06-10"
"jstor-1623224","Astronomical Notes","Science","JSTOR","1896-11-13"
"jstor-108194","The Bakerian Lecture.--On the Theory of the Astronomical Refractions","Philosophical Transactions of the Royal Society of London","JSTOR","1838-01-01"
"jstor-1758347","A Biographical History of Astronomy","Science","JSTOR","1883-11-09"
"philtrans06316283","On the Integration of Certain Differential Expressions, with Which Problems in Physical Astronomy Are Connected, &c.","Royal Society of London","No Contributor","1804-01-01"
"jstor-110234","Researches in Physical Astronomy. [Abstract]","Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London","JSTOR","1815-01-01"
"jstor-40667109","Minutes of the Meeting of the Astronomical Society of the Pacific, held in the Lecture Hall of the California Academy of Sciences November 26, 1892","Publications of the Astronomical Society of the Pacific","JSTOR","1892-11-26"
"jstor-1624928","Astronomical Notes","Science","JSTOR","1896-11-20"
"jstor-110591","On the Theory of the Astronomical Refractions. [Abstract]","Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London","JSTOR","1837-01-01"
"jstor-40668568","Minutes of the Meeting of the Board of Directors of the Astronomical Society of the Pacific, Held at 6:00 P. M., Friday, December 16, 1921","Publications of the Astronomical Society of the Pacific","JSTOR","1922-02-01"
"jstor-40691943","ABSTRACTS FROM ASTRONOMICAL PUBLICATIONS","Publications of the Astronomical Society of the Pacific","JSTOR","1916-06-01"
"jstor-109708","Observations on Atmospherical Refraction as It Affects Astronomical Observations. [Abstract]","Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London","JSTOR","1800-01-01"
"jstor-983482","Some of the Results of Astronomical Photography Pertaining Specially to the Work with a Portrait Lens","Proceedings of the American Philosophical Society","JSTOR","1907-10-01"
"jstor-40693213","Minutes of the Meeting of the Board of Directors of the Astronomical Society of the Pacific, Held in the Rooms of the Society, on January 31, 1920, at 7.30 p.m.","Publications of the Astronomical Society of the Pacific","JSTOR","1920-02-01"
"jstor-40670912","Minutes or the Meeting of the Newly Elected Board of Directors of the Astronomical Society of the Pacific, Held in the Sutro Branch of the California State Library, San Francisco, California, on January 29,1921, at 9.30 p. m.","Publications of the Astronomical Society of the Pacific","JSTOR","1921-02-01"
"jstor-40669382","THE ASTRONOMICAL SOCIETY OF CAMDEN, NEW JERSEY","Publications of the Astronomical Society of the Pacific","JSTOR","1890-05-31"
"jstor-40671245","Astronomical Telegrams","Publications of the Astronomical Society of the Pacific","JSTOR","1898-10-01"
"jstor-40668549","ADDRESS OF THE RETIRING PRESIDENT OF THE SOCIETY IN AWARDING THE BRUCE MEDAL TO SIR F. W. DYSON, ASTRONOMER ROYAL OF ENGLAND","Publications of the Astronomical Society of the Pacific","JSTOR","1922-02-01"
"jstor-40710411","Report of the Treasurer of the Astronomical Society of the Pacific for the Fiscal Year Ending January 31, 1914","Publications of the Astronomical Society of the Pacific","JSTOR","1914-01-01"
"jstor-1766454","Astronomical Notes","Science","JSTOR","1892-01-01"
"jstor-40711277","Minutes of the Meeting of the Board of Directors of the Astronomical Society of the Pacific, Held in the Rooms of the Society, 748 Phelan Building, San Francisco, on January 25, 1913, at 7:15 p. m.","Publications of the Astronomical Society of the Pacific","JSTOR","1913-02-01"
"jstor-1625640","Astronomical Notes","Science","JSTOR","1899-03-17"
"jstor-40671382","THE RISE AND PROGRESS OF ASTRONOMY IN CENTRAL EUROPE.— III","Publications of the Astronomical Society of the Pacific","JSTOR","1899-10-01"
"jstor-1634146","Astronomical Notes","Science","JSTOR","1906-06-08"
"jstor-40693166","Letter from Professor Plaskett: Department of the Interior, Dominion Astrophysical Observatory","Publications of the Astronomical Society of the Pacific","JSTOR","1920-06-01"
"jstor-40668061","NOTES ON THE PROGRESS OF DOUBLE-STAR ASTRONOMY","Publications of the Astronomical Society of the Pacific","JSTOR","1900-06-01"
"jstor-1632625","Astronomical Notes","Science","JSTOR","1906-08-10"
"jstor-40710131","Minutes of the Annual Meeting of the Astronomical Society of the Pacific, Held in the Rooms of President Cornish, 525 Market Street, San Francisco, on Saturday, January 26, 1918, at 8 p.m.","Publications of the Astronomical Society of the Pacific","JSTOR","1918-02-01"
"jstor-40668531","Return of Astronomical Instruments to China","Publications of the Astronomical Society of the Pacific","JSTOR","1921-10-01"
"jstor-40669009","ASTRONOMICAL INSTRUMENTS IN COURSE OF CONSTRUCTION IN THE UNITED STATES","Publications of the Astronomical Society of the Pacific","JSTOR","1890-11-29"
"jstor-1760747","Astronomical Notes","Science","JSTOR","1885-11-27"
"jstor-40667790","Minutes of a Special Meeting of the Board of Directors of the Astronomical Society of the Pacific, Held in the Rooms of the Society, on Satur Day, August 14, 1897, At 2:00 P. M.","Publications of the Astronomical Society of the Pacific","JSTOR","1897-10-01"
"jstor-40669025","Minutes of the Meeting of the Astronomical Society of the Pacific Held at 232 Sutter Street, San Francisco, November 29, 1890","Publications of the Astronomical Society of the Pacific","JSTOR","1890-11-29"
"jstor-1004896","Astronomical Observations, &c. Communicated by Andrew Ellicott, Esq.","Transactions of the American Philosophical Society","JSTOR","1818-01-01"
"philtrans05253884","Researches in Physical Astronomy [Continued]","Royal Society of London","No Contributor","1832-01-01"
"jstor-40711436","Students' Opinions of the Educational Advantages of the Study of Astronomy","Publications of the Astronomical Society of the Pacific","JSTOR","1917-08-01"
"jstor-40668407","Minutes of the Special Meeting of the Board of Directors of the Astronomical Society of the Pacific, Held in the Rooms of the Society, on Saturday, November 28, 1903, at 2 p.m.","Publications of the Astronomical Society of the Pacific","JSTOR","1904-04-10"
"jstor-40692037","ASTRONOMICAL OBSERVATIONS IN 1918","Publications of the Astronomical Society of the Pacific","JSTOR","1919-06-01"
"jstor-40710368","ABSTRACTS FROM ASTRONOMICAL PUBLICATIONS","Publications of the Astronomical Society of the Pacific","JSTOR","1914-04-01"
"jstor-40668044","ASTRONOMICAL OBSERVATIONS IN 1899","Publications of the Astronomical Society of the Pacific","JSTOR","1900-04-01"
"jstor-25106152","The Nature of an Astronomer's Work","The North American Review","JSTOR","1908-06-01"
"jstor-1761583","Astronomical Notes","Science","JSTOR","1885-10-16"
"philtrans09482224","Researches in Physical Astronomy.","Royal Society of London","No Contributor","1830-01-01"
"jstor-1637166","``Theoretical Astronomy''","Science","JSTOR","1912-10-25"
"jstor-1766861","Astronomical Notes","Science","JSTOR","1892-03-25"
"jstor-40710476","Minutes of the Meeting of the Board of Directors of the Astronomical Society of the Pacific, Held in the Rooms of the Society on January 30, 1915, at 7:15 p. m.","Publications of the Astronomical Society of the Pacific","JSTOR","1915-02-01"
"jstor-40668317","ASTRONOMICAL OBSERVATIONS IN 1902","Publications of the Astronomical Society of the Pacific","JSTOR","1903-04-10"
"jstor-1758964","Illustrative Apparatus for Astronomy","Science","JSTOR","1883-08-24"
"philtrans03798273","On the Computation of the Effect of the Attraction of Mountain-Masses, as Disturbing the Apparent Astronomical Latitude of Stations in Geodetic Surveys","Royal Society of London","No Contributor","1855-01-01"
"jstor-40710211","Minutes of the Meeting of the Board of Directors of the Astronomical Society of the Pacific, held in the Rooms of the Society on March 25, 1911, at 7:30 p. m.","Publications of the Astronomical Society of the Pacific","JSTOR","1911-04-01"
"jstor-40711381","Minutes of the Meeting of the Astronomical Society of the Pacific held in Hearst Hall, Berkeley, on July 11, 1914, at 8 :00 p. m.","Publications of the Astronomical Society of the Pacific","JSTOR","1914-10-01"
"jstor-1004769","Astronomical Observations Made at Lancaster, Pennsylvania, Chiefly with a View to Ascertain the Longitude of That Borough, and as a Test of the Accuracy with Which the Longitude May Be Found by Lunar Observation; In a Letter from Andrew Ellicott to Robert Patterson","Transactions of the American Philosophical Society","JSTOR","1809-01-01"
"jstor-1004833","Report of a Committee of the American Philosophical Society on Astronomical Observations: Containing Observations Made in Different Parts of the United States, on the Solar Eclipse of February 12th, 1831","Transactions of the American Philosophical Society","JSTOR","1834-01-01"
"jstor-40669864","Minutes of the Meeting of the Astronomical Society of the Pacific, held at the Lick Observatory, June 13th, 1891","Publications of the Astronomical Society of the Pacific","JSTOR","1891-06-13"
"jstor-40692982","Minutes of a Special Meeting of ot the Board of Directors of the Astronomical Society of the Pacific, Held in Room 601 Merchants Exchange Building, San Francisco, Monday, October 12, 1908","Publications of the Astronomical Society of the Pacific","JSTOR","1908-12-10"
"philtrans02766278","On the Astronomical Refractions.","Royal Society of London","No Contributor","1815-01-01"
"jstor-40667039","A HANDBOOK OF PRACTICAL ASTRONOMY FOR UNIVERSITY STUDENTS AND ENGINEERS","Publications of the Astronomical Society of the Pacific","JSTOR","1892-06-11"
"jstor-1761882","Astronomical Notes","Science","JSTOR","1885-12-04"
"jstor-40671009","The International Astrographic Charts","Publications of the Astronomical Society of the Pacific","JSTOR","1897-04-01"
"jstor-40692154","Minutes of the Meeting of the Astronomical Society of the Pacific, Held on March 26, 1920, at 8:15 p. m., in Room 11 of Wheeler Hall, University of California, Berkeley, California","Publications of the Astronomical Society of the Pacific","JSTOR","1920-04-01"
"jstor-1626141","The Astronomical and Astrophysical Society of America","Science","JSTOR","1899-12-01"
"jstor-40710454","ON ATMOSPHERIC CONDITIONS REQUIRED FOR ASTRONOMICAL OBSERVATION","Publications of the Astronomical Society of the Pacific","JSTOR","1915-04-01"
"jstor-109914","Astronomical Observations and Experiments, Selected for the Purpose of Ascertaining the Relative Distances of Clusters of Stars, and of Investigating How Far the Power of Our Telescopes May Be Expected to Reach into Space, When Directed to Ambiguous Celestial Objects. [Abstract]","Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London","JSTOR","1815-01-01"
"jstor-1627019","The Harvard Astrophysical Conference","Science","JSTOR","1898-10-07"
"jstor-40691207","Lick Observatory Lectures before the Class in Modern Astronomy, University of California","Publications of the Astronomical Society of the Pacific","JSTOR","1905-04-10"
"jstor-40668040","Minutes of the Meeting of the Astronomical Society of the Pacific, Held in the Rooms of the Society, January 27, 1900, at 8 P. M.","Publications of the Astronomical Society of the Pacific","JSTOR","1900-02-01"
"jstor-2900831","Astronomy","Science","JSTOR","1881-09-17"
"jstor-1638027","The Astronomical Fellowship of the Nantucket Maria Mitchell Association","Science","JSTOR","1911-08-11"
"jstor-40710262","ABSTRACTS FROM ASTRONOMICAL PUBLICATIONS","Publications of the Astronomical Society of the Pacific","JSTOR","1911-12-01"
"jstor-40711336","ABSTRACTS FROM ASTRONOMICAL PUBLICATIONS","Publications of the Astronomical Society of the Pacific","JSTOR","1914-06-01"
"jstor-1634763","The Astronomical and Astrophysical Society of America","Science","JSTOR","1910-12-16"
"jstor-40691990","MINUTES OF THE MEETING OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC at Stanford University on November 25, 1916, At 8: 00 p.m.","Publications of the Astronomical Society of the Pacific","JSTOR","1916-12-01"
"jstor-40670061","Graduate-School of Astronomy at Mt. Hamilton, 1893.","Publications of the Astronomical Society of the Pacific","JSTOR","1893-03-25"
"jstor-40710408","Minutes of the Meeting of the Board of Directors of the Astronomical Society of the Pacific, held in the Rooms of the Society on January 31,1914, at 7:30 p.m.","Publications of the Astronomical Society of the Pacific","JSTOR","1914-01-01"
"jstor-2900117","Astronomical Notes","Science","JSTOR","1880-11-20"
"philtrans02750244","On the Dispersive Power of the Atmosphere, and Its Effect on Astronomical Observations.","Royal Society of London","No Contributor","1815-01-01"
"philtrans01531396","On a Method of Examining the Divisions of Astronomical Instruments.","Royal Society of London","No Contributor","1800-01-01"
"jstor-1759608","Pending Problems of Astronomy","Science","JSTOR","1884-09-05"
"philtrans02671748","Circular concerning Astronomical Photography","Royal Society of London","No Contributor","1883-01-01"
"jstor-40691570","THE NATURE OF AN ASTRONOMER'S WORK","Publications of the Astronomical Society of the Pacific","JSTOR","1908-10-10"
"jstor-40710092","Minutes of the Special Meeting of the Board of Directors of the Astronomical Society of the Pacific, held at 2 p.m. of October 19, 1988, in the Rooms of the Society","Publications of the Astronomical Society of the Pacific","JSTOR","1918-12-01"
"jstor-40691988","MINUTES OF THE SPECIAL MEETING OF THE BOARD OF DIRECTORS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC, Held in the Rooms of the Society on October 28, 1916, at 12: 15 p.m.","Publications of the Astronomical Society of the Pacific","JSTOR","1916-12-01"
"jstor-40668019","Astronomical Telegrams","Publications of the Astronomical Society of the Pacific","JSTOR","1899-12-01"
"jstor-1624047","Astro-Photographic Work to be Carried Out at Columbia College Observatory","Science","JSTOR","1895-11-29"
"jstor-40692782","Notes from the Berkeley Astronomical Department","Publications of the Astronomical Society of the Pacific","JSTOR","1906-02-10"
"jstor-40668254","DEFINITIVE DETERMINATION OF THE ORBIT OF COMET 1898 1. [Abstract of No. 3 of the Astronomische Abhandlungen]","Publications of the Astronomical Society of the Pacific","JSTOR","1902-08-01"
"jstor-40670216","Minutes of the Meeting of the Astronomical Society of the Pacific, held at the Chabot Observatory, in Oakland, January 27, 1894","Publications of the Astronomical Society of the Pacific","JSTOR","1894-01-27"
"jstor-30001279","Poets and Astronomers","The Irish Penny Journal","JSTOR","1841-02-06"
"jstor-1767632","Astronomical Notes","Science","JSTOR","1892-06-03"
"jstor-40670934","Minutes of the Meeting of the Astronomical Society of the Pacific, held in the Lecture Hall of the California Academy of Sciences, January 30, 1897","Publications of the Astronomical Society of the Pacific","JSTOR","1897-02-01"
"jstor-40670190","THE DESIGN OF THE CORDOBA CATALOGUES. EXTRACT FROM ""AN ACCOUNT OF SOUTH AMERICAN ASTRONOMY"" GIVEN AT THE MEETING OF THE A. S. P.","Publications of the Astronomical Society of the Pacific","JSTOR","1894-01-27"
"jstor-40670285","Annual Meeting of the Astronomical Society of the Pacific, held in the Lecture-Hall of the California Academy of Sciences, March 31, 1894","Publications of the Astronomical Society of the Pacific","JSTOR","1894-03-31"
"jstor-40710035","Minutes of the Meeting of the Board of Directors of the Astronomical Society of the Pacific, held on July 15, 1918, at 7:30 p.m. in the Auditorium of Wheeler Hall, Berkeley, California","Publications of the Astronomical Society of the Pacific","JSTOR","1918-08-01"
"philtrans06694051","Plan et Esai d'un Nouveau Catalogue Sideral, Avec une Representation Graphique, et une loi de Simple et Reguliere Distribution des Etoiles Autour du Pole, Qui Pourra Fournir Plusieurs Avantages a l'Astronomie Pratique.","Royal Society of London","No Contributor","1830-01-01"
"jstor-1630607","The Astronomical and Astrophysical Society of America","Science","JSTOR","1905-03-17"
"jstor-1761675","How Astronomers May Work","Science","JSTOR","1886-10-22"
"jstor-1633369","The Aims of an Astronomer","Science","JSTOR","1906-07-20"
"jstor-1767303","Astronomical Notes","Science","JSTOR","1892-02-05"
"jstor-40667052","Resignation of Mr. S. W. Burnham as Astronomer of the Lick Observatory","Publications of the Astronomical Society of the Pacific","JSTOR","1892-06-11"
"jstor-1632595","Astronomical Notes","Science","JSTOR","1906-03-16"
"jstor-40670855","Request to Astronomers Regarding Ephemerides of Comets, Etc","Publications of the Astronomical Society of the Pacific","JSTOR","1896-02-01"
"jstor-40667116","BY-LAWS of the ASTRONOMICAL SOCIETY OF THE PACIFIC","Publications of the Astronomical Society of the Pacific","JSTOR","1893-01-01"
"jstor-40692155","THE ADOLFO STAHL LECTURES IN ASTRONOMY","Publications of the Astronomical Society of the Pacific","JSTOR","1920-04-01"
"jstor-2900853","Astronomy","Science","JSTOR","1881-04-02"
"jstor-109887","Astronomical Observations and Experiments Tending to Investigate the Local Arrangement of the Celestial Bodies in Space, and to Determine the Extent and Condition of the Milky Way. [Abstract]","Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London","JSTOR","1815-01-01"
"jstor-40693116","Minutes of the Newly Elected Board of Directors of the Astronomical Society of the Pacific, Held in the Rooms of the Society, 748 Phelan Building, San Francisco, on March 30, 1912, At 10 p. m.","Publications of the Astronomical Society of the Pacific","JSTOR","1912-04-01"
"jstor-40666814","The International Astrophotographic Congress (1889) and a Visit to Certain European Observatories, etc.","Publications of the Astronomical Society of the Pacific","JSTOR","1891-01-31"
"jstor-40691282","Minutes of the Meeting of the Astronomical Society of the Pacific, Held in the Lecture Hall of the California Academy of Sciences November 25, 1905, at 8 P. M.","Publications of the Astronomical Society of the Pacific","JSTOR","1905-12-10"
"jstor-1645501","Astronomical Meeting at the Potsdam Astronomical Observatory","Science","JSTOR","1921-10-28"
"jstor-40671005","Awards of the Comet-Medal of the Astronomical Society of the Pacific","Publications of the Astronomical Society of the Pacific","JSTOR","1897-04-01"
"jstor-1627422","Astronomical Notes","Science","JSTOR","1899-01-06"
"jstor-40667792","Minutes of a Special Meeting of the Board of Directors of the Astronomical Society of the Pacific; Held on Saturday, September 18th, At 1:30 P. M.","Publications of the Astronomical Society of the Pacific","JSTOR","1897-10-01"
"jstor-40692063","Minutes of the Meeting of the Board of Directors of the Astronomical Society of the Pacific, Held at the Faculty Club, in Berkeley, California, on July 7, 1919 at 6:30 p. m.","Publications of the Astronomical Society of the Pacific","JSTOR","1919-08-01"
"jstor-1634521","The Berkeley Astronomical Department","Science","JSTOR","1909-11-19"
"jstor-111781","On the Computation of the Effect of the Attraction of Mountain-Masses, as Disturbing the Apparent Astronomical Latitude of Stations in Geodetic Surveys","Proceedings of the Royal Society of London","JSTOR","1854-01-01"
"jstor-40669848","REPORT MADE TO THE DIRECTOR OF THE ASTRONOMICAL OBSERVATORY OF TACUBAYA, IN REGARD TO OBSERVATIONS OF THE ZODIACAL LIGHT","Publications of the Astronomical Society of the Pacific","JSTOR","1891-06-13"
"jstor-1767984","Astronomical Notes","Science","JSTOR","1891-11-20"
"jstor-1638459","The Astronomical and Astrophysical Society of America","Science","JSTOR","1911-10-20"
"jstor-40693084","JOHN WINTHROP (1714-1779), AMERICA'S FIRST ASTRONOMER, AND THE SCIENCE OF HIS PERIOD","Publications of the Astronomical Society of the Pacific","JSTOR","1916-08-01"
"jstor-1761374","Proceedings of the Section of Astronomy and Mathematics","Science","JSTOR","1885-09-11"
"jstor-1624653","Astronomical Notes","Science","JSTOR","1896-12-11"
"jstor-40693102","POPULAR INTEREST IN ASTRONOMY","Publications of the Astronomical Society of the Pacific","JSTOR","1912-04-01"
"jstor-40666952","CATALOGUE OF THE LIBRARY OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC AND OF THE ALEXANDER MONTGOMERY LIBRARY","Publications of the Astronomical Society of the Pacific","JSTOR","1891-10-01"
"philtrans03986746","Report of Proceedings of the Astronomical Expedition to Teneriffe, in 1857.","Royal Society of London","No Contributor","1856-01-01"
"jstor-40671357","Communication Concerning the Publication of an Annual Astronomical Report","Publications of the Astronomical Society of the Pacific","JSTOR","1899-04-01"
"jstor-40711278","Annual Meeting of the Astronomical Society of the Pacific, Held on January 25, 1913, in the Assembly Hall of the Phelan Building, San Francisco, at 8:00 p. m.","Publications of the Astronomical Society of the Pacific","JSTOR","1913-02-01"
"jstor-40670013","""Astronomical Journal Prizes.","Publications of the Astronomical Society of the Pacific","JSTOR","1893-01-28"
"jstor-40670439","Minutes of the Meeting of the Astronomical Society of the Pacific, Held in the Rooms of the Technical Society of the Pacific Coast, November 24, 1894","Publications of the Astronomical Society of the Pacific","JSTOR","1894-12-01"
"philtrans08832626","Extract of a Letter from the Rev. John Brinkley, D.D. F.R.S. Andrew's Professor of Astronomy in the University of Dublin, to the Rev. Nevil Maskelyne, D.D.F.R.S. Astronomer Royal, on the Annual Parallax of $\alpha $ Lyrae","Royal Society of London","No Contributor","1800-01-01"
"jstor-1760508","Proceedings of the Section of Mathematics and Astronomy","Science","JSTOR","1886-09-03"
"philtrans00137812","An Account of Observations Made with the Eight Feet Astronomical Circle, at the Observatory of Trinity College, Dublin, since the Beginning of the Year 1818, for Investigating the Effects of Parallax and Aberration on the Places of Certain Fixed Stars; Also the Comparison of These with Former Observations for Determining the Effects of Lunar Nutation","Royal Society of London","No Contributor","1821-01-01"
"jstor-1645705","The American Astronomical Society","Science","JSTOR","1921-02-25"
"jstor-1627721","On the Teaching of Astronomy in the United States","Science","JSTOR","1900-07-06"
"jstor-40671269","THE DEVELOPMENT OF PHOTOGRAPHY IN ASTRONOMY","Publications of the Astronomical Society of the Pacific","JSTOR","1898-12-01"
"jstor-1758756","Proceedings of the Section of Mathematics and Astronomy","Science","JSTOR","1884-09-19"
"jstor-110590","A Letter Addressed to P. M. Roget, M.D., Secretary to the Royal Society, Accompanying a Paper on Astronomical Refractions","Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London","JSTOR","1837-01-01"
